"","date","rec_group_adjusted_new","individuals_at_receiver","total_individuals","proportion","avg_depth"
"148",2021-12-08,"Bayfront area",2,16,12.5,8.31833401709402
"149",2021-12-08,"Central",1,16,6.25,NA
"150",2021-12-08,"West End",13,16,81.25,6.23790523601404
"151",2021-12-09,"Bayfront area",1,16,6.25,NA
"152",2021-12-09,"Central",1,16,6.25,NA
"153",2021-12-09,"West End",14,16,87.5,6.26150270476414
"154",2021-12-10,"Bayfront area",2,16,12.5,6.9558
"155",2021-12-10,"Central",1,16,6.25,NA
"156",2021-12-10,"West End",13,16,81.25,6.29855567638406
"157",2021-12-11,"Bayfront area",4,16,25,6.65188061100095
"158",2021-12-11,"Central",1,16,6.25,NA
"159",2021-12-11,"West End",11,16,68.75,6.09644321072927
"160",2021-12-12,"Bayfront area",7,16,43.75,6.73223744904263
"161",2021-12-12,"Carrolls Bay",1,16,6.25,1.00474545454545
"162",2021-12-12,"Central",1,16,6.25,NA
"163",2021-12-12,"West End",7,16,43.75,7.1451131241036
"164",2021-12-13,"Bayfront area",6,16,37.5,6.61517729893929
"165",2021-12-13,"Carrolls Bay",1,16,6.25,1.22526137184116
"166",2021-12-13,"Central",1,16,6.25,6.9182
"167",2021-12-13,"North shore",1,16,6.25,4.16998181818182
"168",2021-12-13,"West End",7,16,43.75,6.53006385383784
"169",2021-12-14,"Bayfront area",5,16,31.25,6.58298863942126
"170",2021-12-14,"Central",1,16,6.25,NA
"171",2021-12-14,"West End",10,16,62.5,5.9342127906332
"172",2021-12-15,"Bayfront area",4,16,25,7.02653889425588
"173",2021-12-15,"Central",2,16,12.5,3.82172941176471
"174",2021-12-15,"West End",10,16,62.5,6.45077555226696
"175",2021-12-16,"Bayfront area",6,16,37.5,6.75867087487478
"176",2021-12-16,"Central",1,16,6.25,NA
"177",2021-12-16,"West End",9,16,56.25,5.6557134111692
"178",2021-12-17,"Bayfront area",7,16,43.75,6.03085477244157
"179",2021-12-17,"Central",1,16,6.25,NA
"180",2021-12-17,"North shore",1,16,6.25,3.72637777777778
"181",2021-12-17,"West End",7,16,43.75,6.14984975992771
"182",2021-12-18,"Bayfront area",6,16,37.5,6.30266714256626
"183",2021-12-18,"Central",1,16,6.25,NA
"184",2021-12-18,"North shore",1,16,6.25,NA
"185",2021-12-18,"West End",8,16,50,5.9881432102366
"186",2021-12-19,"Bayfront area",5,16,31.25,6.45567184002198
"187",2021-12-19,"Central",1,16,6.25,NA
"188",2021-12-19,"North shore",1,16,6.25,3.43751428571429
"189",2021-12-19,"West End",9,16,56.25,6.28538447912882
"190",2021-12-20,"Bayfront area",4,16,25,6.95058977085135
"191",2021-12-20,"Central",1,16,6.25,NA
"192",2021-12-20,"North shore",1,16,6.25,3.18326666666667
"193",2021-12-20,"West End",10,16,62.5,6.26050407711778
"194",2021-12-21,"Bayfront area",4,16,25,6.09126484963968
"195",2021-12-21,"Central",1,16,6.25,NA
"196",2021-12-21,"North shore",1,16,6.25,3.18020975609756
"197",2021-12-21,"West End",10,16,62.5,6.05228874029919
"198",2021-12-22,"Bayfront area",6,16,37.5,6.57808195269697
"199",2021-12-22,"Central",1,16,6.25,NA
"200",2021-12-22,"West End",9,16,56.25,5.37791210504719
"201",2021-12-23,"Bayfront area",3,16,18.75,7.29711982692654
"202",2021-12-23,"Central",1,16,6.25,NA
"203",2021-12-23,"North shore",1,16,6.25,3.083
"204",2021-12-23,"West End",11,16,68.75,5.80010789057357
"205",2021-12-24,"Bayfront area",2,16,12.5,7.23273609908062
"206",2021-12-24,"Central",1,16,6.25,NA
"207",2021-12-24,"North shore",1,16,6.25,3.0078
"208",2021-12-24,"West End",12,16,75,5.91645270758782
"209",2021-12-25,"Bayfront area",1,16,6.25,9.13122857142857
"210",2021-12-25,"Central",1,16,6.25,NA
"211",2021-12-25,"North shore",1,16,6.25,2.91756
"212",2021-12-25,"West End",13,16,81.25,5.75874168124943
"213",2021-12-26,"Bayfront area",2,16,12.5,6.52795383046663
"214",2021-12-26,"Central",1,16,6.25,NA
"215",2021-12-26,"North shore",1,16,6.25,2.95089189189189
"216",2021-12-26,"West End",12,16,75,5.80524819314285
"217",2021-12-27,"Bayfront area",9,16,56.25,6.08885494411946
"218",2021-12-27,"Central",1,16,6.25,NA
"219",2021-12-27,"North shore",1,16,6.25,2.953656
"220",2021-12-27,"West End",5,16,31.25,5.61902670655399
"221",2021-12-28,"Bayfront area",4,16,25,6.68820185049176
"222",2021-12-28,"Central",1,16,6.25,NA
"223",2021-12-28,"West End",11,16,68.75,5.60547210867659
"224",2021-12-29,"Bayfront area",4,16,25,6.12683889441927
"225",2021-12-29,"Central",1,16,6.25,NA
"226",2021-12-29,"North shore",1,16,6.25,2.7627037037037
"227",2021-12-29,"West End",10,16,62.5,6.09757992436011
"228",2021-12-30,"Bayfront area",2,16,12.5,6.57684341880342
"229",2021-12-30,"Central",1,16,6.25,NA
"230",2021-12-30,"North shore",1,16,6.25,2.60136190476191
"231",2021-12-30,"West End",12,16,75,6.13853297002132
"232",2021-12-31,"Bayfront area",3,16,18.75,6.86348683409203
"233",2021-12-31,"Central",1,16,6.25,NA
"234",2021-12-31,"North shore",1,16,6.25,2.61568571428571
"235",2021-12-31,"West End",11,16,68.75,5.98675420273219
"236",2022-01-01,"Bayfront area",2,16,12.5,6.40755893505446
"237",2022-01-01,"Central",1,16,6.25,NA
"238",2022-01-01,"North shore",1,16,6.25,2.49284347826087
"239",2022-01-01,"West End",12,16,75,5.75201406977882
"240",2022-01-02,"Bayfront area",3,16,18.75,6.07579297776564
"241",2022-01-02,"Central",1,16,6.25,NA
"242",2022-01-02,"North shore",1,16,6.25,2.4874972972973
"243",2022-01-02,"West End",11,16,68.75,5.69118191108093
"244",2022-01-03,"Bayfront area",1,16,6.25,8.5726
"245",2022-01-03,"Central",1,16,6.25,NA
"246",2022-01-03,"North shore",1,16,6.25,2.50413488372093
"247",2022-01-03,"West End",13,16,81.25,5.41012332715472
"248",2022-01-04,"Bayfront area",3,16,18.75,6.77581638704643
"249",2022-01-04,"Central",1,16,6.25,NA
"250",2022-01-04,"North shore",1,16,6.25,2.42035529411765
"251",2022-01-04,"West End",11,16,68.75,5.79278764906524
"252",2022-01-05,"Bayfront area",6,16,37.5,6.34169172970172
"253",2022-01-05,"Central",2,16,12.5,5.1988213592233
"254",2022-01-05,"West End",8,16,50,5.10518833891642
"255",2022-01-06,"Bayfront area",3,16,18.75,6.86928617691154
"256",2022-01-06,"Central",1,16,6.25,NA
"257",2022-01-06,"North shore",1,16,6.25,4.65376635514019
"258",2022-01-06,"West End",11,16,68.75,5.56121862269266
"259",2022-01-07,"Bayfront area",3,16,18.75,7.05942512218964
"260",2022-01-07,"Central",3,16,18.75,5.13166697318008
"261",2022-01-07,"North shore",1,16,6.25,4.67064350877193
"262",2022-01-07,"West End",9,16,56.25,5.38537464405194
"263",2022-01-08,"Central",1,16,6.25,NA
"264",2022-01-08,"North shore",1,16,6.25,4.6622
