Longitude (x),Latitude (y),Station Name,Climate ID,Date_Time,Year,Month,Day,Time,Flag,Temp ,Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 12:00,2025,4,3,12:00,,20,,5.8,,39,,0,,25,,15,,,,99.59,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 13:00,2025,4,3,13:00,,20.3,,4.4,,35,,0,,25,,23,,,,99.67,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 14:00,2025,4,3,14:00,,20.3,,4.1,,34,,0,,26,,26,,,,99.72,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 15:00,2025,4,3,15:00,,19.3,,4.4,,37,,0,,26,,25,,,,99.73,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 16:00,2025,4,3,16:00,,19,,5.1,,40,,0,,25,,19,,,,99.8,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 17:00,2025,4,3,17:00,,18,,5.6,,44,,0,,25,,16,,,,99.94,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 18:00,2025,4,3,18:00,,15.5,,4,,46,,0,,30,,14,,,,100.1,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 19:00,2025,4,3,19:00,,13.4,,2.5,,47,,0,,28,,14,,,,100.27,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 20:00,2025,4,3,20:00,,10.7,,2.8,,58,,0,,29,,6,,,,100.41,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 21:00,2025,4,3,21:00,,9,,1.5,,60,,0,,31,,6,,,,100.55,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 22:00,2025,4,3,22:00,,7.9,,0,,57,,0,,31,,6,,,,100.62,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/3/2025 23:00,2025,4,3,23:00,,6.5,,0.3,,64,,0,,,,0,,,,100.77,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 0:00,2025,4,4,0:00,,5.6,,0.3,,69,,0,,,,0,,,,100.83,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 1:00,2025,4,4,1:00,,4.8,,0.2,,72,,0,,28,,3,,,,100.83,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 2:00,2025,4,4,2:00,,5.3,,0.5,,71,,0,,,,0,,,,100.88,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 3:00,2025,4,4,3:00,,4.6,,0.3,,74,,0,,28,,3,,,,101,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 4:00,2025,4,4,4:00,,4.3,,-0.8,,70,,0,,31,,3,,,,101.1,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 5:00,2025,4,4,5:00,,3.3,,-1.2,,72,,0,,31,,4,,,,101.21,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 6:00,2025,4,4,6:00,,2.5,,-1.7,,74,,0,,32,,5,,,,101.3,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 7:00,2025,4,4,7:00,,3.7,,-2.4,,64,,0,,31,,6,,,,101.42,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 8:00,2025,4,4,8:00,,5.8,,-3,,53,,0,,31,,6,,,,101.55,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 9:00,2025,4,4,9:00,,6.7,,-3.6,,48,,0,,3,,9,,,,101.49,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 10:00,2025,4,4,10:00,,7.8,,-2.9,,47,,0,,11,,4,,,,101.59,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 11:00,2025,4,4,11:00,,7.6,,-2.9,,47,,0,,13,,9,,,,101.6,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 12:00,2025,4,4,12:00,,8.2,,-2.4,,47,,0,,13,,8,,,,101.54,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 13:00,2025,4,4,13:00,,9.1,,-2.1,,45,,0,,8,,10,,,,101.54,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 14:00,2025,4,4,14:00,,9.7,,-2.2,,43,,0,,9,,8,,,,101.48,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 15:00,2025,4,4,15:00,,10,,-1.9,,43,,0,,12,,6,,,,101.55,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 16:00,2025,4,4,16:00,,9.4,,-2.4,,43,,0,,8,,8,,,,101.5,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 17:00,2025,4,4,17:00,,8.5,,-2.2,,47,,0,,6,,10,,,,101.46,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 18:00,2025,4,4,18:00,,8,,-2.3,,48,,0,,8,,10,,,,101.36,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 19:00,2025,4,4,19:00,,7.4,,-2.5,,49,,0,,6,,10,,,,101.48,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 20:00,2025,4,4,20:00,,6.8,,-2.5,,51,,0,,10,,3,,,,101.47,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 21:00,2025,4,4,21:00,,6.1,,-2.6,,54,,0,,10,,4,,,,101.39,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 22:00,2025,4,4,22:00,,6.1,,-2.2,,55,,0,,9,,6,,,,101.27,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/4/2025 23:00,2025,4,4,23:00,,6.4,,-2.3,,54,,0,,9,,6,,,,101.2,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 0:00,2025,4,5,0:00,,6.4,,-2.3,,54,,0,,11,,5,,,,101.12,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 1:00,2025,4,5,1:00,,5.9,,-1.4,,59,,0,,7,,10,,,,100.99,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 2:00,2025,4,5,2:00,,5.8,,-1.2,,61,,0,,6,,8,,,,100.92,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 3:00,2025,4,5,3:00,,5.5,,-0.3,,66,,0,,7,,10,,,,100.81,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 4:00,2025,4,5,4:00,,4.6,,0.1,,72,,0,,6,,15,,,,100.61,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 5:00,2025,4,5,5:00,,3.6,,1.8,,88,,0.3,,6,,11,,,,100.52,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 6:00,2025,4,5,6:00,,3.4,,2.1,,91,,0.3,,6,,11,,,,100.36,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 7:00,2025,4,5,7:00,,3.7,,2.5,,92,,0,,6,,9,,,,100.28,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 8:00,2025,4,5,8:00,,4.4,,3,,91,,0,,5,,8,,,,100.2,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 9:00,2025,4,5,9:00,,4.9,,3.5,,90,,0.3,,7,,9,,,,100.04,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 10:00,2025,4,5,10:00,,5.3,,3.6,,89,,0,,7,,5,,,,100.06,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 11:00,2025,4,5,11:00,,5.3,,3.9,,91,,0.3,,13,,5,,,,99.97,,,,,,NA
-79.91,43.29,HAMILTON RBG CS,6153301,4/5/2025 12:00,2025,4,5,12:00,,6,,4.6,,90,,0.3,,3,,5,,,,99.91,,,,,,NA
