"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps"
"35","HAM-025","HAM","25",2,NA,NA,43.30979,-79.81135,NA,NA,2016-04-14 10:00:00,2016-10-26 04:00:00,NA,NA,NA,"VR2W",69,127843,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"36","HAM-009","HAM","9",2,NA,NA,43.28036,-79.80383,NA,NA,2016-04-14 10:00:00,2016-10-28 04:00:00,NA,NA,NA,"VR2W",69,127827,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"37","HAM-017","HAM","17",2,NA,NA,43.29462,-79.82189,NA,NA,2016-04-18 10:00:00,2016-10-31 04:00:00,NA,NA,NA,"VR2W",69,127837,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"38","HAM-019","HAM","19",2,NA,NA,43.2778,-79.85213,NA,NA,2016-04-18 10:00:00,2016-10-26 04:00:00,NA,NA,NA,"VR2W",69,127847,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"39","HAM-004","HAM","4",2,NA,NA,43.28806,-79.83556,NA,NA,2016-04-19 10:00:00,2016-10-28 04:00:00,NA,NA,NA,"VR2W",69,127845,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"40","HAM-006","HAM","6",2,NA,NA,43.30666,-79.80714,NA,NA,2016-04-19 10:00:00,2016-10-26 04:00:00,NA,NA,NA,"VR2W",69,127850,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"41","HAM-001","HAM","1",2,NA,NA,43.30556,-79.82056,NA,NA,2016-04-20 10:00:00,2016-10-28 04:00:00,NA,NA,NA,"VR2W",69,127832,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"42","HAM-003","HAM","3",2,NA,NA,43.29444,-79.79972,NA,NA,2016-04-20 10:00:00,2016-10-31 04:00:00,NA,NA,NA,"VR2W",69,127836,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"43","HAM-027","HAM","27",2,NA,NA,43.27917,-79.87444,NA,NA,2016-04-21 10:00:00,2016-10-28 04:00:00,NA,NA,NA,"VR2W",69,127829,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"44","HAM-028","HAM","28",2,NA,NA,43.27582,-79.88266,NA,NA,2016-04-21 10:00:00,2016-10-26 04:00:00,NA,NA,NA,"VR2W",69,126878,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"45","HAM-007","HAM","7",2,NA,NA,43.30136,-79.8401,NA,NA,2016-04-21 10:00:00,2016-10-26 04:00:00,NA,NA,NA,"VR2W",69,126879,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"46","HAM-002","HAM","2",2,NA,NA,43.28639,-79.79694,NA,NA,2016-04-22 10:00:00,2016-10-28 04:00:00,NA,NA,NA,"VR2W",69,127833,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"47","HAM-005","HAM","5",2,NA,NA,43.28111,-79.86472,NA,NA,2016-04-22 10:00:00,2016-10-28 04:00:00,NA,NA,NA,"VR2W",69,127849,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"48","HAM-022","HAM","22",2,NA,NA,43.30178,-79.79097,NA,NA,2016-05-09 10:00:00,2016-10-24 04:00:00,NA,NA,NA,"VR2W",69,127842,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"49","HAM-023","HAM","23",2,NA,NA,43.28511,-79.868,NA,NA,2016-05-09 10:00:00,2016-10-25 04:00:00,NA,NA,NA,"VR2W",69,127834,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"50","HAM-008","HAM","8",2,NA,NA,43.27515,-79.79315,NA,NA,2016-05-09 10:00:00,2016-10-31 04:00:00,NA,NA,NA,"VR2W",69,126880,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"51","HAM-029","HAM","29",1,NA,NA,43.28943,-79.88732,NA,NA,2016-05-19 10:00:00,2016-11-17 05:00:00,NA,NA,NA,"VR2W",69,119694,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"52","HAM-030","HAM","30",1,NA,NA,43.27186,-79.92519,NA,NA,2016-05-19 10:00:00,2016-11-15 05:00:00,NA,NA,NA,"VR2W",69,121999,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"53","HAM-031","HAM","31",1,NA,NA,43.27369,-79.90082,NA,NA,2016-05-19 10:00:00,2016-11-15 05:00:00,NA,NA,NA,"VR2W",69,127831,"MAP-113",NA,NA,NA,"Yes","HAMLO","No"
"54","HAM-032","HAM","32",1,NA,NA,43.28,-79.89494,NA,NA,2016-05-19 10:00:00,2016-11-15 05:00:00,NA,NA,NA,"VR2W",69,127844,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"55","HAM-033","HAM","33",1,NA,NA,43.29208,-79.88405,NA,NA,2016-05-19 10:00:00,2016-11-17 05:00:00,NA,NA,NA,"VR2W",69,129324,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"56","HAM-034","HAM","34",1,NA,NA,43.27164,-79.80792,NA,NA,2016-05-30 10:00:00,2016-10-31 04:00:00,NA,NA,NA,"VR2W",69,121993,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"57","HAM-035","HAM","35",1,NA,NA,43.26228,-79.77238,NA,NA,2016-05-30 10:00:00,2016-11-18 05:00:00,NA,NA,NA,"VR2W",69,129325,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"58","HAM-036","HAM","36",1,NA,NA,43.27139,-79.86949,NA,NA,2016-08-03 10:00:00,2016-10-28 04:00:00,NA,NA,NA,"VR2W",69,119711,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"59","HAM-013","HAM","13",3,NA,NA,43.29686,-79.80135,NA,NA,2016-10-24 10:00:00,2017-04-07 04:00:00,NA,NA,NA,"VR2W",69,127846,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"60","HAM-022","HAM","22",3,NA,NA,43.30178,-79.79097,NA,NA,2016-10-24 10:00:00,2017-04-12 04:00:00,NA,NA,NA,"VR2W",69,127842,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"61","HAM-014","HAM","14",3,NA,NA,43.28466,-79.87537,NA,NA,2016-10-25 10:00:00,2017-04-11 04:00:00,NA,NA,NA,"VR2W",69,126876,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"62","HAM-018","HAM","18",3,NA,NA,43.2725,-79.87839,NA,NA,2016-10-25 10:00:00,2017-04-10 04:00:00,NA,NA,NA,"VR2W",69,127840,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"63","HAM-023","HAM","23",3,NA,NA,43.28511,-79.868,NA,NA,2016-10-25 10:00:00,2017-04-11 04:00:00,NA,NA,NA,"VR2W",69,127834,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"64","HAM-019","HAM","19",3,NA,NA,43.2778,-79.85213,NA,NA,2016-10-26 10:00:00,2017-04-10 04:00:00,NA,NA,NA,"VR2W",69,127847,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"65","HAM-025","HAM","25",3,NA,NA,43.30979,-79.81135,NA,NA,2016-10-26 10:00:00,2017-04-11 04:00:00,NA,NA,NA,"VR2W",69,127843,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"66","HAM-028","HAM","28",3,NA,NA,43.27582,-79.88266,NA,NA,2016-10-26 10:00:00,2017-04-13 04:00:00,NA,NA,NA,"VR2W",69,126878,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"67","HAM-006","HAM","6",3,NA,NA,43.30666,-79.80714,NA,NA,2016-10-26 10:00:00,2017-04-13 04:00:00,NA,NA,NA,"VR2W",69,127850,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"68","HAM-007","HAM","7",3,NA,NA,43.30136,-79.8401,NA,NA,2016-10-26 10:00:00,2017-04-13 04:00:00,NA,NA,NA,"VR2W",69,126879,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"69","HAM-001","HAM","1",3,NA,NA,43.30556,-79.82056,NA,NA,2016-10-28 10:00:00,2017-04-28 04:00:00,NA,NA,NA,"VR2W",69,127832,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"70","HAM-012","HAM","12",3,NA,NA,43.30048,-79.80591,NA,NA,2016-10-28 10:00:00,2017-04-12 04:00:00,NA,NA,NA,"VR2W",69,127839,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"71","HAM-002","HAM","2",3,NA,NA,43.28639,-79.79694,NA,NA,2016-10-28 10:00:00,2017-04-18 04:00:00,NA,NA,NA,"VR2W",69,127833,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"72","HAM-021","HAM","21",3,NA,NA,43.28532,-79.82618,NA,NA,2016-10-28 10:00:00,2017-06-06 04:00:00,NA,NA,NA,"VR2W",69,127841,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"73","HAM-027","HAM","27",3,NA,NA,43.27917,-79.87444,NA,NA,2016-10-28 10:00:00,2017-04-26 04:00:00,NA,NA,NA,"VR2W",69,127829,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"74","HAM-036","HAM","36",2,NA,NA,43.27139,-79.86949,NA,NA,2016-10-28 10:00:00,2017-05-10 04:00:00,NA,NA,NA,"VR2W",69,119711,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"75","HAM-004","HAM","4",3,NA,NA,43.28806,-79.83556,NA,NA,2016-10-28 10:00:00,2017-04-26 04:00:00,NA,NA,NA,"VR2W",69,127845,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"76","HAM-005","HAM","5",3,NA,NA,43.28111,-79.86472,NA,NA,2016-10-28 10:00:00,2017-04-13 04:00:00,NA,NA,NA,"VR2W",69,127849,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"77","HAM-009","HAM","9",3,NA,NA,43.28036,-79.80383,NA,NA,2016-10-28 10:00:00,2017-05-10 04:00:00,NA,NA,NA,"VR2W",69,127827,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"78","HAM-015","HAM","15",3,NA,NA,43.29361,-79.85564,NA,NA,2016-10-31 10:00:00,2017-04-10 04:00:00,NA,NA,NA,"VR2W",69,127828,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"79","HAM-017","HAM","17",3,NA,NA,43.29462,-79.82189,NA,NA,2016-10-31 10:00:00,2017-04-26 04:00:00,NA,NA,NA,"VR2W",69,127837,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"80","HAM-003","HAM","3",3,NA,NA,43.29444,-79.79972,NA,NA,2016-10-31 10:00:00,2017-04-18 04:00:00,NA,NA,NA,"VR2W",69,127836,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"81","HAM-034","HAM","34",2,NA,NA,43.27164,-79.80792,NA,NA,2016-10-31 10:00:00,2017-04-19 04:00:00,NA,NA,NA,"VR2W",69,121993,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"82","HAM-008","HAM","8",3,NA,NA,43.27515,-79.79315,NA,NA,2016-10-31 10:00:00,2017-04-10 04:00:00,NA,NA,NA,"VR2W",69,126880,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"83","HAM-032","HAM","32",2,NA,NA,43.27978,-79.89359,NA,NA,2016-11-15 14:00:00,2017-10-18 14:42:00,NA,NA,NA,"VR2W",69,127844,"MAP-113",NA,NA,NA,"No","HAMLO","No"
"84","HAM-029","HAM","29",2,NA,NA,43.28943,-79.88732,NA,NA,2016-11-17 11:00:00,2017-04-04 04:00:00,NA,NA,NA,"VR2W",69,119694,"MAP-113",NA,NA,NA,"No","HAMLO","No"
